k,Inertia,Silhouette,Davies-Bouldin,Calinski-Harabasz
2,16371.207566525634,0.5254569131593437,1.1147643747612292,5727.39197678092
3,11927.903550914838,0.5211590761441635,0.998766856683455,5596.462746419568
4,9216.763733211765,0.43559136888785677,0.9917188405413955,5705.083586758541
5,7869.152038703216,0.4491175933620114,0.9669000401508263,5393.969038627145
6,6652.616985855588,0.4482594510158949,0.9196821752641676,5430.830309372991
7,5950.936341962926,0.3772635877866813,0.9080932684462549,5234.579817913282
8,5369.875677526032,0.34906922829761583,0.9306136562870504,5109.897428726744
